Date	Blocks
2014-05-30	909.0
2014-05-31	912.0
2014-06-01	893.0
2014-06-02	914.0
2014-06-03	561.0
2014-06-04	1228.0
2014-06-05	850.0
2014-06-06	880.0
2014-06-07	936.0
2014-06-08	848.0
2014-06-09	917.0
2014-06-10	939.0
2014-06-11	868.0
2014-06-12	926.0
2014-06-13	945.0
2014-06-14	1001.0
2014-06-15	592.0
2014-06-16	640.0
2014-06-17	0.0
2014-06-18	0.0
2014-06-19	0.0
2014-06-20	0.0
2014-06-21	1.0
2014-06-22	2.0
2014-06-23	1791.0
2014-06-24	1097.0
2014-06-25	1195.0
2014-06-26	943.0
2014-06-27	1069.0
2014-06-28	967.0
2014-06-29	989.0
2014-06-30	932.0
2014-07-01	891.0
2014-07-02	1097.0
2014-07-03	1013.0
2014-07-04	986.0
2014-07-05	1001.0
2014-07-06	969.0
2014-07-07	934.0
2014-07-08	974.0
2014-07-09	998.0
2014-07-10	1013.0
2014-07-11	1008.0
2014-07-12	939.0
2014-07-13	953.0
2014-07-14	952.0
2014-07-15	932.0
2014-07-16	942.0
2014-07-17	932.0
2014-07-18	902.0
2014-07-19	1012.0
2014-07-20	316.0
2014-07-21	623.0
2014-07-22	962.0
2014-07-23	1196.0
2014-07-24	875.0
2014-07-25	975.0
2014-07-26	962.0
2014-07-27	949.0
2014-07-28	1011.0
2014-07-29	898.0
2014-07-30	921.0
2014-07-31	1032.0
2014-08-01	1051.0
2014-08-02	1169.0
2014-08-03	1009.0
2014-08-04	1082.0
2014-08-05	823.0
2014-08-06	924.0
2014-08-07	1008.0
2014-08-08	948.0
2014-08-09	885.0
2014-08-10	587.0
2014-08-11	897.0
2014-08-12	1091.0
2014-08-13	923.0
2014-08-14	949.0
2014-08-15	951.0
2014-08-16	946.0
2014-08-17	598.0
2014-08-18	1250.0
2014-08-19	947.0
2014-08-20	922.0
2014-08-21	986.0
2014-08-22	991.0
2014-08-23	896.0
2014-08-24	935.0
2014-08-25	864.0
2014-08-26	966.0
2014-08-27	954.0
2014-08-28	877.0
2014-08-29	811.0
2014-08-30	1042.0
2014-08-31	1058.0
2014-09-01	905.0
2014-09-02	920.0
2014-09-03	1087.0
2014-09-04	904.0
2014-09-05	931.0
2014-09-06	931.0
2014-09-07	987.0
2014-09-08	964.0
2014-09-09	927.0
2014-09-10	66.0
2014-09-11	2.0
2014-09-12	959.0
2014-09-13	1001.0
2014-09-14	947.0
2014-09-15	1009.0
2014-09-16	948.0
2014-09-17	956.0
2014-09-18	943.0
2014-09-19	970.0
2014-09-20	788.0
2014-09-21	1064.0
2014-09-22	984.0
2014-09-23	960.0
2014-09-24	978.0
2014-09-25	953.0
2014-09-26	948.0
2014-09-27	917.0
2014-09-28	991.0
2014-09-29	963.0
2014-09-30	947.0
2014-10-01	961.0
2014-10-02	935.0
2014-10-03	774.0
2014-10-04	1097.0
2014-10-05	985.0
2014-10-06	958.0
2014-10-07	967.0
2014-10-08	949.0
2014-10-09	962.0
2014-10-10	956.0
2014-10-11	935.0
2014-10-12	917.0
2014-10-13	1010.0
2014-10-14	969.0
2014-10-15	934.0
2014-10-16	1002.0
2014-10-17	974.0
2014-10-18	919.0
2014-10-19	1004.0
2014-10-20	980.0
2014-10-21	1008.0
2014-10-22	955.0
2014-10-23	979.0
2014-10-24	971.0
2014-10-25	951.0
2014-10-26	958.0
2014-10-27	949.0
2014-10-28	915.0
2014-10-29	946.0
2014-10-30	991.0
2014-10-31	977.0
2014-11-01	907.0
2014-11-02	963.0
2014-11-03	959.0
2014-11-04	941.0
2014-11-05	954.0
2014-11-06	1004.0
2014-11-07	949.0
2014-11-08	952.0
2014-11-09	898.0
2014-11-10	972.0
2014-11-11	945.0
2014-11-12	961.0
2014-11-13	990.0
2014-11-14	948.0
2014-11-15	962.0
2014-11-16	938.0
2014-11-17	939.0
2014-11-18	919.0
2014-11-19	947.0
2014-11-20	946.0
2014-11-21	904.0
2014-11-22	1016.0
2014-11-23	948.0
2014-11-24	949.0
2014-11-25	966.0
2014-11-26	966.0
2014-11-27	988.0
2014-11-28	960.0
2014-11-29	938.0
2014-11-30	942.0
2014-12-01	960.0
2014-12-02	967.0
2014-12-03	957.0
2014-12-04	937.0
2014-12-05	957.0
2014-12-06	931.0
2014-12-07	962.0
2014-12-08	945.0
2014-12-09	991.0
2014-12-10	946.0
2014-12-11	933.0
2014-12-12	818.0
2014-12-13	796.0
2014-12-14	965.0
2014-12-15	1151.0
2014-12-16	918.0
2014-12-17	991.0
2014-12-18	972.0
2014-12-19	796.0
2014-12-20	932.0
2014-12-21	902.0
2014-12-22	939.0
2014-12-23	960.0
2014-12-24	948.0
2014-12-25	966.0
2014-12-26	959.0
2014-12-27	952.0
2014-12-28	912.0
2014-12-29	961.0
2014-12-30	939.0
2014-12-31	1215.0
2015-01-01	1016.0
2015-01-02	917.0
2015-01-03	867.0
2015-01-04	870.0
2015-01-05	916.0
2015-01-06	985.0
2015-01-07	969.0
2015-01-08	1006.0
2015-01-09	1055.0
2015-01-10	988.0
2015-01-11	946.0
2015-01-12	984.0
2015-01-13	928.0
2015-01-14	926.0
2015-01-15	985.0
2015-01-16	898.0
2015-01-17	1022.0
2015-01-18	930.0
2015-01-19	973.0
2015-01-20	892.0
2015-01-21	952.0
2015-01-22	959.0
2015-01-23	921.0
2015-01-24	957.0
2015-01-25	926.0
2015-01-26	966.0
2015-01-27	1031.0
2015-01-28	930.0
2015-01-29	995.0
2015-01-30	912.0
2015-01-31	975.0
2015-02-01	897.0
2015-02-02	998.0
2015-02-03	975.0
2015-02-04	941.0
2015-02-05	908.0
2015-02-06	945.0
2015-02-07	945.0
2015-02-08	1037.0
2015-02-09	941.0
2015-02-10	949.0
2015-02-11	996.0
2015-02-12	924.0
2015-02-13	974.0
2015-02-14	967.0
2015-02-15	973.0
2015-02-16	952.0
2015-02-17	957.0
2015-02-18	918.0
2015-02-19	968.0
2015-02-20	938.0
2015-02-21	937.0
2015-02-22	956.0
2015-02-23	938.0
2015-02-24	966.0
2015-02-25	939.0
2015-02-26	979.0
2015-02-27	942.0
2015-02-28	953.0
2015-03-01	857.0
2015-03-02	976.0
2015-03-03	966.0
2015-03-04	929.0
2015-03-05	954.0
2015-03-06	956.0
2015-03-07	990.0
2015-03-08	964.0
2015-03-09	927.0
2015-03-10	975.0
2015-03-11	954.0
2015-03-12	992.0
2015-03-13	916.0
2015-03-14	988.0
2015-03-15	901.0
2015-03-16	975.0
2015-03-17	953.0
2015-03-18	983.0
2015-03-19	944.0
2015-03-20	873.0
2015-03-21	980.0
2015-03-22	1003.0
2015-03-23	1036.0
